_id/$oid,country,date/$date,keyword,lang,__v,absolute,difficult,normalized,similarWord,traffic
63482d11029a762ebdfa05d3,br,2022-10-02T00:00:00.000+0000,ALUGUEL DE CARROS,pt-BR,0,500000,0,100,aluguel de carros,50
63482d11029a762ebdfa05d7,br,2022-10-02T00:00:00.000+0000,SOLICITAR EMPRÉSTIMO PESSOAL,pt-BR,0,500,0,98,solicitar empréstimo pessoal,0.1
63482d11029a762ebdfa05da,br,2022-10-02T00:00:00.000+0000,ALMOÇO DELIVERY,pt-BR,0,5000,0,99,almoço delivery,0.5
63482d11029a762ebdfa05d5,br,2022-10-02T00:00:00.000+0000,COMPRAR TRON,pt-BR,0,50,0,86,comprar tron,0
63482d11029a762ebdfa05dd,br,2022-10-02T00:00:00.000+0000,DIARISTA SP,pt-BR,0,5000,0,99,diarista sp,0.5
63482d11029a762ebdfa05de,br,2022-10-02T00:00:00.000+0000,HORÁRIO DE ÔNIBUS,pt-BR,0,500000,0,100,horário de ônibus,50
63482d17029a762ebdfa0733,br,2022-10-02T00:00:00.000+0000,ESPETÁCULOS,pt-BR,0,50000,0,99,espetáculos,5
63482d17029a762ebdfa0732,br,2022-10-02T00:00:00.000+0000,PERFUMARIA,pt-BR,0,50000,0,99,perfumaria,5
63482d17029a762ebdfa073e,br,2022-10-02T00:00:00.000+0000,CATÁLOGO DE MERCADO,pt-BR,0,500,0,98,catálogo de mercado,0.1
63482d17029a762ebdfa073a,br,2022-10-02T00:00:00.000+0000,SECADORES,pt-BR,0,50000,0,99,secadores,5
63482d17029a762ebdfa0734,br,2022-10-02T00:00:00.000+0000,TMOV MOTORISTA,pt-BR,0,50,0,86,tmov motorista,0
63482d17029a762ebdfa0738,br,2022-10-02T00:00:00.000+0000,COTAÇÃO CHAINLINK,pt-BR,0,500,0,98,cotação chainlink,0.1
63482d17029a762ebdfa0739,br,2022-10-02T00:00:00.000+0000,CONTROLE DAS FINANÇAS,pt-BR,0,50,0,86,controle das finanças,0
63482d17029a762ebdfa0740,br,2022-10-02T00:00:00.000+0000,COSMÉTICO ONLINE,pt-BR,0,500,0,98,cosmético online,0.1
63482d17029a762ebdfa073f,br,2022-10-02T00:00:00.000+0000,PANELA FLAVORSTONE,pt-BR,0,5000,0,99,panela flavorstone,0.5
63482d18029a762ebdfa076d,br,2022-10-02T00:00:00.000+0000,DENTISTAS,pt-BR,0,500000,0,100,dentistas,50
63482d18029a762ebdfa076b,br,2022-10-02T00:00:00.000+0000,EMPRESTIMO,pt-BR,0,500000,0,100,emprestimo,50
63482d18029a762ebdfa076e,br,2022-10-02T00:00:00.000+0000,HAVAIANAS,pt-BR,0,500000,0,100,havaianas,50
63482d18029a762ebdfa0773,br,2022-10-02T00:00:00.000+0000,ANIVERSARIO POLISHOP,pt-BR,0,500,0,98,aniversario polishop,0.1
63482d18029a762ebdfa0774,br,2022-10-02T00:00:00.000+0000,COMPRAS DE TV,pt-BR,0,500,0,98,compras de tv,0.1
63482d18029a762ebdfa076f,br,2022-10-02T00:00:00.000+0000,CAMISETAS FEMININAS,pt-BR,0,50000,0,99,camisetas femininas,5
63482d18029a762ebdfa0775,br,2022-10-02T00:00:00.000+0000,COMPRAR PASSAGENS BARATAS,pt-BR,0,500,0,98,comprar passagens baratas,0.1
63482d18029a762ebdfa078e,br,2022-10-02T00:00:00.000+0000,BIQUÍNIS,pt-BR,0,500000,0,100,biquínis,50
63482d18029a762ebdfa0794,br,2022-10-02T00:00:00.000+0000,PROMOÇÃO DELIVERY,pt-BR,0,50,0,86,promoção delivery,0
63482d18029a762ebdfa078c,br,2022-10-02T00:00:00.000+0000,ASSISTIR JORNAL AO VIVO,pt-BR,0,500,0,98,assistir jornal ao vivo,0.1
63482d18029a762ebdfa0795,br,2022-10-02T00:00:00.000+0000,LICENCIAMENTO VEÍCULO,pt-BR,0,5000,0,99,licenciamento veículo,0.5
63482d18029a762ebdfa078d,br,2022-10-02T00:00:00.000+0000,SÉRIES EDUCATIVAS,pt-BR,0,5000,0,99,séries educativas,0.5
63482d18029a762ebdfa0796,br,2022-10-02T00:00:00.000+0000,TREINO DE ACADEMIA,pt-BR,0,5000,0,99,treino de academia,0.5
63482d18029a762ebdfa0798,br,2022-10-02T00:00:00.000+0000,PASSAGEM AÉREA ONLINE,pt-BR,0,500,0,98,passagem aérea online,0.1
63482d18029a762ebdfa0797,br,2022-10-02T00:00:00.000+0000,VIAJE,pt-BR,0,50000,0,99,viaje,5
63482d1c029a762ebdfa07f1,br,2022-10-02T00:00:00.000+0000,FLUKE INTERNET,pt-BR,0,50,0,86,fluke internet,0
63482d1c029a762ebdfa07f0,br,2022-10-02T00:00:00.000+0000,GIRA,pt-BR,0,50000,0,99,gira,5
63482d1c029a762ebdfa07ee,br,2022-10-02T00:00:00.000+0000,HAMBURGUERIA,pt-BR,0,500000,0,100,hamburgueria,50
63482d1c029a762ebdfa07ef,br,2022-10-02T00:00:00.000+0000,MAPAS,pt-BR,0,5000000,0,100,mapas,500
63482d1c029a762ebdfa07f7,br,2022-10-02T00:00:00.000+0000,ABASTECIDO,pt-BR,0,500,0,98,abastecido,0.1
63482d1c029a762ebdfa07f8,br,2022-10-02T00:00:00.000+0000,MCDONALDS,pt-BR,0,5000000,0,100,mcdonalds,500
63482d1c029a762ebdfa07f5,br,2022-10-02T00:00:00.000+0000,AMIZADE COLORIDA,pt-BR,0,50000,0,99,amizade colorida,5
63482d1c029a762ebdfa07f9,br,2022-10-02T00:00:00.000+0000,BLACKAPP,pt-BR,0,500,0,98,blackapp,0.1
63482d38029a762ebdfa0bc9,br,2022-10-02T00:00:00.000+0000,GILHO,pt-BR,0,500,0,98,gilho,0.1
63482d38029a762ebdfa0bca,br,2022-10-02T00:00:00.000+0000,ENS,pt-BR,0,50000,0,99,ens,5
63482d38029a762ebdfa0bd2,br,2022-10-02T00:00:00.000+0000,PORTO SEGURO CARTÕES,pt-BR,0,500000,0,100,porto seguro cartões,50
63482d38029a762ebdfa0bd6,br,2022-10-02T00:00:00.000+0000,PERFUMES MASCULINOS,pt-BR,0,500000,0,100,perfumes masculinos,50
63482d38029a762ebdfa0bcb,br,2022-10-02T00:00:00.000+0000,CONVERSAS,pt-BR,0,500000,0,100,conversas,50
63482d38029a762ebdfa0bd9,br,2022-10-02T00:00:00.000+0000,CAMISETAS DA SELEÇÃO,pt-BR,0,50000,0,99,camisetas da seleção,5
63482d38029a762ebdfa0bd0,br,2022-10-02T00:00:00.000+0000,VINHO COCODRILO,pt-BR,0,500,0,98,vinho cocodrilo,0.1
63482d38029a762ebdfa0bd1,br,2022-10-02T00:00:00.000+0000,PROCURAR CANDIDATOS,pt-BR,0,500,0,98,procurar candidatos,0.1
63482d38029a762ebdfa0bd8,br,2022-10-02T00:00:00.000+0000,BUSCAR TALENTOS,pt-BR,0,50,0,86,buscar talentos,0
63482d38029a762ebdfa0bd7,br,2022-10-02T00:00:00.000+0000,HOTÉIS,pt-BR,0,5000000,0,100,hotéis,500
63482d42029a762ebdfa0d46,br,2022-10-02T00:00:00.000+0000,NOME SUJO,pt-BR,0,5000,0,99,nome sujo,0.5
63482d42029a762ebdfa0d49,br,2022-10-02T00:00:00.000+0000,CONSULTAR PONTUAÇÃO CNH,pt-BR,0,50000,0,99,consultar pontuação cnh,5
63482d42029a762ebdfa0d4d,br,2022-10-02T00:00:00.000+0000,GANHAR MASSA,pt-BR,0,5000,0,99,ganhar massa,0.5
63482d42029a762ebdfa0d4a,br,2022-10-02T00:00:00.000+0000,REVENDER MAQUIAGEM,pt-BR,0,5000,0,99,revender maquiagem,0.5
63482d42029a762ebdfa0d45,br,2022-10-02T00:00:00.000+0000,MICROONDAS BLACK FRIDAY,pt-BR,0,50,0,86,microondas black friday,0
63482d42029a762ebdfa0d4e,br,2022-10-02T00:00:00.000+0000,CARTÃO DE CRÉDITO MEI,pt-BR,0,5000,0,99,cartão de crédito mei,0.5
63482d42029a762ebdfa0d48,br,2022-10-02T00:00:00.000+0000,DASH,pt-BR,0,50000,0,99,dash,5
63482d42029a762ebdfa0d66,br,2022-10-02T00:00:00.000+0000,FAXINEIRAS,pt-BR,0,50000,0,99,faxineiras,5
63482d42029a762ebdfa0d5e,br,2022-10-02T00:00:00.000+0000,MAQUININHA SEM ALUGUEL,pt-BR,0,500,0,98,maquininha sem aluguel,0.1
