"_id",country,date,keyword,lang,__v,absolute,difficult,normalized,similarWord,traffic
62f65dfc2647f9326eca65c1,br,2022-06-02T00:00:00.000Z,OFERTAS IMPERDÍVEIS,pt-BR,0,5000,0,99,oferta imperdível,0.5
62f65dfc2647f9326eca65d6,br,2022-06-02T00:00:00.000Z,CUPONS EXCLUSIVOS,pt-BR,0,500,0,98,cupons exclusivos,0.1
62f65dfc2647f9326eca65c7,br,2022-06-02T00:00:00.000Z,MÉQUI,pt-BR,0,5000,0,99,méqui,0.5
62f65dfc2647f9326eca65d7,br,2022-07-02T00:00:00.000Z,OFERTAS IMPERDÍVEIS,pt-BR,0,5000,0,99,oferta imperdível,0.5
62f65dfc2647f9326eca65dc,br,2022-07-02T00:00:00.000Z,SUNDAE,pt-BR,0,50000,0,99,sundae,5
62f65e4c2647f9326ecbb1d7,br,2022-07-02T00:00:00.000Z,HAMBÚRGUERES,pt-BR,0,500000,0,100,hambúrgueres,50
62f65e4c2647f9326ecbb1e4,br,2022-06-02T00:00:00.000Z,MÉQUIZICE,pt-BR,0,500,0,98,méquizice,0.1
62f65e4c2647f9326ecbb1df,br,2022-07-02T00:00:00.000Z,MCFRITAS,pt-BR,0,500,0,98,mcfritas,0.1
62f65e4c2647f9326ecbb1de,br,2022-07-02T00:00:00.000Z,MÉQUIZICE,pt-BR,0,500,0,98,méquizice,0.1
62f65e4c2647f9326ecbb1e0,br,2022-07-02T00:00:00.000Z,MCDELIVERY,pt-BR,0,5000,0,99,mcdelivery,0.5
62f65e4c2647f9326ecbb1ef,br,2022-06-02T00:00:00.000Z,MCFRITAS,pt-BR,0,500,0,98,mcfritas,0.1
62f65e4c2647f9326ecbb1e9,br,2022-06-02T00:00:00.000Z,MCDELIVERY,pt-BR,0,5000,0,99,mcdelivery,0.5
62f65e4c2647f9326ecbb1f2,br,2022-07-02T00:00:00.000Z,MCNUGGETS,pt-BR,0,500,0,98,mcnuggets,0.1
62f65e4c2647f9326ecbb1e7,br,2022-06-02T00:00:00.000Z,MCNUGGETS,pt-BR,0,500,0,98,mcnuggets,0.1
62f65e4c2647f9326ecbb1fe,br,2022-06-02T00:00:00.000Z,HAMBÚRGUERES,pt-BR,0,500000,0,100,hambúrgueres,50
62f65e4c2647f9326ecbb203,br,2022-06-02T00:00:00.000Z,CARDÁPIO ONLINE,pt-BR,0,5000,0,99,cardápio online,0.5
62f65e4c2647f9326ecbb1ff,br,2022-07-02T00:00:00.000Z,CARDÁPIO ONLINE,pt-BR,0,5000,0,99,cardápio online,0.5
62f65e9c2647f9326ecded7e,br,2022-06-02T00:00:00.000Z,CARDÁPIO MC DONALDS,pt-BR,0,500,0,98,cardápio mc donalds,0.1
62f65e9c2647f9326ecded80,br,2022-07-02T00:00:00.000Z,CARDÁPIO MC,pt-BR,0,500,0,98,cardápio mc,0.1
62f65e9c2647f9326ecded7b,br,2022-07-02T00:00:00.000Z,CARDÁPIO MC DONALDS,pt-BR,0,500,0,98,cardápio mc donalds,0.1
62f65e9c2647f9326ecded7f,br,2022-06-02T00:00:00.000Z,CARDÁPIO MC,pt-BR,0,500,0,98,cardápio mc,0.1
62f65e9c2647f9326ecded90,br,2022-07-02T00:00:00.000Z,PROMOÇÃO DE HAMBÚRGUER,pt-BR,0,500,0,98,promoção de hambúrguer,0.1
